Name,Description,Order,Area Served,Type,Subtype,Spaces,Floor,Building,Dashboard,Device ID,Device Name,Description
VAV-106,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-4-16,4th,Building,VAV_Reheat_G36,1113,VAV-106,G36 VAV
VAV-107,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-4-17,4th,Building,VAV_Reheat_G36,1114,VAV-107,G36 VAV
VAV-108,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-4-18,4th,Building,VAV_Reheat_G36,1115,VAV-108,G36 VAV
VAV-109,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-4-19,4th,Building,VAV_Reheat_G36,1116,VAV-109,G36 VAV
VAV-110,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-4-20,4th,Building,VAV_Reheat_G36,1117,VAV-110,G36 VAV
VAV-111,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-4-21,4th,Building,VAV_Reheat_G36,1118,VAV-111,G36 VAV
VAV-112,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-4-22,4th,Building,VAV_Reheat_G36,1119,VAV-112,G36 VAV
VAV-113,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-4-23,4th,Building,VAV_Reheat_G36,1120,VAV-113,G36 VAV
VAV-114,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-4-24,4th,Building,VAV_Reheat_G36,1121,VAV-114,G36 VAV
VAV-115,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-4-25,4th,Building,VAV_Reheat_G36,1122,VAV-115,G36 VAV
VAV-116,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-4-26,4th,Building,VAV_Reheat_G36,1123,VAV-116,G36 VAV
VAV-117,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-4-27,4th,Building,VAV_Reheat_G36,1124,VAV-117,G36 VAV
VAV-118,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-4-28,4th,Building,VAV_Reheat_G36,1125,VAV-118,G36 VAV
VAV-119,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-4-29,4th,Building,VAV_Reheat_G36,1126,VAV-119,G36 VAV
VAV-120,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-4-30,4th,Building,VAV_Reheat_G36,1127,VAV-120,G36 VAV
