Name,Description,Order,Area Served,Type,Subtype,Spaces,Floor,Building,Dashboard,Device ID,Device Name,Description
VAV-43,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-13,2nd,Building,VAV_Reheat_G36,1050,VAV-43,G36 VAV
VAV-44,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-14,2nd,Building,VAV_Reheat_G36,1051,VAV-44,G36 VAV
VAV-45,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-15,2nd,Building,VAV_Reheat_G36,1052,VAV-45,G36 VAV
VAV-46,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-16,2nd,Building,VAV_Reheat_G36,1053,VAV-46,G36 VAV
VAV-47,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-17,2nd,Building,VAV_Reheat_G36,1054,VAV-47,G36 VAV
VAV-48,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-18,2nd,Building,VAV_Reheat_G36,1055,VAV-48,G36 VAV
VAV-49,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-19,2nd,Building,VAV_Reheat_G36,1056,VAV-49,G36 VAV
VAV-50,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-20,2nd,Building,VAV_Reheat_G36,1057,VAV-50,G36 VAV
VAV-51,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-21,2nd,Building,VAV_Reheat_G36,1058,VAV-51,G36 VAV
VAV-52,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-22,2nd,Building,VAV_Reheat_G36,1059,VAV-52,G36 VAV
VAV-53,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-23,2nd,Building,VAV_Reheat_G36,1060,VAV-53,G36 VAV
VAV-54,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-24,2nd,Building,VAV_Reheat_G36,1061,VAV-54,G36 VAV
VAV-55,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-25,2nd,Building,VAV_Reheat_G36,1062,VAV-55,G36 VAV
VAV-56,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-26,2nd,Building,VAV_Reheat_G36,1063,VAV-56,G36 VAV
VAV-57,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-27,2nd,Building,VAV_Reheat_G36,1064,VAV-57,G36 VAV
VAV-58,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-28,2nd,Building,VAV_Reheat_G36,1065,VAV-58,G36 VAV
VAV-59,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-29,2nd,Building,VAV_Reheat_G36,1066,VAV-59,G36 VAV
VAV-60,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-30,2nd,Building,VAV_Reheat_G36,1067,VAV-60,G36 VAV
VAV-61,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-3-1,3rd,Building,VAV_Reheat_G36,1068,VAV-61,G36 VAV
VAV-62,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-3-2,3rd,Building,VAV_Reheat_G36,1069,VAV-62,G36 VAV
VAV-63,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-3-3,3rd,Building,VAV_Reheat_G36,1070,VAV-63,G36 VAV
