Name,Description,Order,Area Served,Type,Subtype,Spaces,Floor,Building,Dashboard,Device ID,Device Name,Description
VAV-22,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-22,1st,Building,VAV_Reheat_G36,1029,VAV-22,G36 VAV
VAV-23,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-23,1st,Building,VAV_Reheat_G36,1030,VAV-23,G36 VAV
VAV-24,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-24,1st,Building,VAV_Reheat_G36,1031,VAV-24,G36 VAV
VAV-25,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-25,1st,Building,VAV_Reheat_G36,1032,VAV-25,G36 VAV
VAV-26,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-26,1st,Building,VAV_Reheat_G36,1033,VAV-26,G36 VAV
VAV-27,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-27,1st,Building,VAV_Reheat_G36,1034,VAV-27,G36 VAV
VAV-28,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-28,1st,Building,VAV_Reheat_G36,1035,VAV-28,G36 VAV
VAV-29,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-29,1st,Building,VAV_Reheat_G36,1036,VAV-29,G36 VAV
VAV-30,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-30,1st,Building,VAV_Reheat_G36,1037,VAV-30,G36 VAV
VAV-31,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-1,2nd,Building,VAV_Reheat_G36,1038,VAV-31,G36 VAV
VAV-32,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-2,2nd,Building,VAV_Reheat_G36,1039,VAV-32,G36 VAV
VAV-33,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-3,2nd,Building,VAV_Reheat_G36,1040,VAV-33,G36 VAV
VAV-34,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-4,2nd,Building,VAV_Reheat_G36,1041,VAV-34,G36 VAV
VAV-35,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-5,2nd,Building,VAV_Reheat_G36,1042,VAV-35,G36 VAV
VAV-36,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-6,2nd,Building,VAV_Reheat_G36,1043,VAV-36,G36 VAV
VAV-37,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-7,2nd,Building,VAV_Reheat_G36,1044,VAV-37,G36 VAV
VAV-38,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-8,2nd,Building,VAV_Reheat_G36,1045,VAV-38,G36 VAV
VAV-39,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-9,2nd,Building,VAV_Reheat_G36,1046,VAV-39,G36 VAV
VAV-40,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-10,2nd,Building,VAV_Reheat_G36,1047,VAV-40,G36 VAV
VAV-41,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-11,2nd,Building,VAV_Reheat_G36,1048,VAV-41,G36 VAV
VAV-42,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-2-12,2nd,Building,VAV_Reheat_G36,1049,VAV-42,G36 VAV
